4.0260 	DEBUG 	Fullscreen settings ignored as running in pilot mode.
4.0268 	INFO 	Loaded monitor calibration from ['2024_08_27 15:09']
4.1429 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000028099862740>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000280998636A0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000280998610C0>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000028099857FA0>, multiSample=False, name='window1', numSamples=2, pos=[560.0, 240.0], screen=0, size=array([800, 600]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.1429 	EXP 	window1: backgroundImage = ''
4.1429 	EXP 	window1: backgroundFit = 'none'
4.1431 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000028099861DE0>
4.1432 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000028099861DE0>
4.1455 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000028099861DE0>
4.1458 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000028099861DE0>
4.1491 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.1496 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.1500 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.1506 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.1511 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.1514 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.1519 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.1524 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.1526 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.1528 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.1533 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.1537 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.1543 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.1547 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.1551 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.1556 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.1560 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.1563 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.1567 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.1572 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.1575 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.1578 	DEBUG 	Uploading Texture Font fontname to graphics card
4.1634 	DEBUG 	Upload of Texture Font fontname complete
4.1644 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000028099861DE0>
4.1645 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000028099861DE0>
4.1648 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000028099861DE0>
4.1651 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000028099861DE0>
4.1678 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.1684 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.1690 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.1692 	DEBUG 	Uploading Texture Font fontname to graphics card
4.1732 	DEBUG 	Upload of Texture Font fontname complete
4.1744 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
4.1745 	EXP 	window1: recordFrameIntervals = False
4.3433 	EXP 	window1: recordFrameIntervals = True
4.5264 	EXP 	Screen (0) actual frame rate measured at 60.17Hz
4.5265 	EXP 	window1: recordFrameIntervals = False
4.5268 	EXP 	window1: mouseVisible = False
4.5272 	EXP 	window1: mouseVisible = False
4.5273 	EXP 	window1: mouseVisible = False
4.5282 	EXP 	window1: mouseVisible = False
4.5288 	EXP 	window1: mouseVisible = False
4.5321 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5325 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5331 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5338 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5344 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5350 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5353 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5358 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5364 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5369 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
4.5371 	DEBUG 	Uploading Texture Font fontname to graphics card
4.5376 	DEBUG 	Upload of Texture Font fontname complete
4.5384 	EXP 	window1: mouseVisible = False
4.5384 	EXP 	window1: mouseVisible = False
4.5387 	EXP 	window1: mouseVisible = False
4.5391 	EXP 	window1: mouseVisible = False
4.5501 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
5.9525 	INFO 	keyboard.Keyboard is using iohub backend.
5.9526 	INFO 	keyboard.Keyboard is using iohub backend.
5.9526 	EXP 	Foreperiod_task: status = STARTED
5.9528 	EXP 	window1: mouseVisible = False
6.0019 	EXP 	Created Welcome_Text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='Welcome_Text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
6.0252 	EXP 	window1: mouseVisible = False
6.0278 	EXP 	Created PLUS_FP = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='PLUS_FP', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.05, 0.05]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
6.0279 	EXP 	window1: mouseVisible = False
6.0286 	EXP 	Created polygon = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-2.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='polygon', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
6.0287 	EXP 	window1: mouseVisible = False
6.0292 	EXP 	Created Photodiode_polygon = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-4.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='Photodiode_polygon', opacity=1, ori=0.0, pos=array([ 0.735, -0.44 ]), size=array([0.11, 0.11]), units='height', vertices=ndarray(...), win=Window(...))
6.0293 	EXP 	window1: mouseVisible = False
6.0298 	EXP 	Created Photodiode_plus = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-5.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='Photodiode_plus', opacity=1, ori=0.0, pos=array([ 0.735, -0.44 ]), size=array([0.11, 0.11]), units='height', vertices=ndarray(...), win=Window(...))
6.0298 	EXP 	window1: mouseVisible = False
6.0302 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([ 0.  , -0.35]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
6.0303 	EXP 	window1: mouseVisible = False
6.0308 	EXP 	Created Photodiode_2 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-2.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='Photodiode_2', opacity=1, ori=0.0, pos=array([ 0.735, -0.44 ]), size=array([0.11, 0.11]), units='height', vertices=ndarray(...), win=Window(...))
6.0309 	EXP 	window1: mouseVisible = False
